unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
107,object,road,0.15546507972764645,road,13092677,3044167.0,2171174,0.15546507972764645,grey-c,161925849,3316515.0,2036296,0.012476840015531775,laminate,233961,179501.0,982,0.0023807214895267647,highway-s,4149925,2193332.0,420572,0.071010361010251266,potholed,1608894,77845.0,22649,0.013610441742934578,crosswalk,246024,1695636.0,53838,0.028518578552427083
79,object,car,0.13877410004867299,car,5435238,2264525.0,938314,0.13877410004867299,black-c,142117568,2975151.0,1252745,0.0087092966243166869,glass,2286730,635576.0,22585,0.0077886803592483551,auto_showroom-s,306456,871822.0,21540,0.018621329981378672,swirly,1634432,92068.0,25664,0.015089050325839763,wheel,1540612,1928590.0,364504,0.11740401159790743
252,texture,waffled,0.138518479368644,patty,65965,956080.0,17574,0.017495776383788082,orange-c,30864899,3215699.0,783924,0.023543612794479113,food,1124215,1689840.0,278434,0.10980899748030166,bakery-shop-s,727833,438316.0,61795,0.055955789538499431,waffled,1583356,700043.0,277811,0.138518479368644,head,5034747,581171.0,35308,0.0063269069151938584
191,texture,grid,0.12952574835411401,skyscraper,1293433,1823429.0,246130,0.085737714283325647,blue-c,62464739,3264286.0,533035,0.0081758862776683053,tile,4040367,480819.0,65646,0.014733567648365855,skyscraper-s,4481919,1203687.0,330091,0.061635715706145906,grid,1712438,704441.0,277150,0.12952574835411401,coach,701489,785778.0,6705,0.004528685728797578
41,texture,honeycombed,0.12891212150950232,ball,124778,920076.0,54881,0.055436865449865806,red-c,21346526,3034627.0,241840,0.010018512125842189,fabric,8700788,738902.0,109732,0.011761253373273491,ball_pit-s,280918,620366.0,62979,0.075126594735806185,honeycombed,1583356,1396070.0,340225,0.12891212150950232,back pillow,287411,462970.0,40249,0.056678195039795418
144,object,mountain,0.12727057562103286,mountain,5559015,3118830.0,979742,0.12727057562103286,blue-c,62464739,3644025.0,1274425,0.019656635968788083,carpet,4490516,332030.0,9797,0.0020356349354599627,mountain-s,1187517,1637910.0,135057,0.050200158342532809,potholed,1608894,211025.0,25251,0.014070011835058072,roof,451342,1154360.0,6722,0.0042039300053784284
88,object,grass,0.1250997041583877,grass,13100838,3384232.0,1832973,0.1250997041583877,green-c,64303167,3965050.0,2540350,0.038649512238089212,foliage,30889,392501.0,3792,0.0090372213404258366,pasture-s,868292,1309270.0,52653,0.024778943474755861,veined,1838736,281050.0,49863,0.024089301872581733,base,73996,1912788.0,2781,0.0014017115901538454
229,texture,paisley,0.12277224037471028,mountain,5559015,2285975.0,128474,0.016649223561514031,blue-c,62464739,3685327.0,1099222,0.016897889902858138,fabric,8700788,753582.0,61971,0.0065979948253901905,mountain_snowy-s,1825967,1271991.0,61878,0.020380885879159968,paisley,1583356,648823.0,244083,0.12277224037471028,wheel,1540612,1235372.0,17943,0.0065057045924988063
86,part,wheel,0.11768229205690475,motorbike,1463055,1258892.0,160713,0.062748268998459339,black-c,142117568,2846069.0,912473,0.0063343674196204344,metal,3525611,690373.0,18495,0.0044062057101281263,laundromat-s,370301,384754.0,17710,0.024018607300517397,swirly,1634432,846988.0,223139,0.098809227018249721,wheel,1540612,995313.0,267011,0.11768229205690475
84,texture,zigzagged,0.1162280924175423,ceiling,12335942,1298361.0,206979,0.015414761720205753,white-c,73689572,3495242.0,864131,0.0113223698482887,paper,478211,1006002.0,12740,0.008657991006290975,atrium-public-s,242611,742308.0,15150,0.015622277057732305,zigzagged,1647201,994134.0,275031,0.1162280924175423,crosswalk,246024,730664.0,22407,0.0234805052180647
