unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
1615,texture,flecked,0.038457255548660758,building,35246027,1733270.0,683436,0.018829585004196483,grey-c,159331282,2864869.0,931150,0.0057740364879295784,wallpaper,479086,233269.0,3133,0.0044175166590996896,orchard-s,150528,1231361.0,31270,0.023152347183032374,flecked,1580544,862759.0,90483,0.038457255548660758,roof,443437,733668.0,18634,0.016084994790547195
350,scene,parlor-s,0.038445425681739205,chandelier,180873,1478430.0,44894,0.027808318709818886,red-c,21004512,2723551.0,132180,0.0056018246911971889,wallpaper,479086,1205094.0,31099,0.018812750252407473,parlor-s,1003520,915064.0,71030,0.038445425681739205,crosshatched,1743616,33500.0,12158,0.0068885491892724925,roof,443437,667610.0,9676,0.0087854138160529012
1919,scene,sandbox-s,0.038411566664919114,earth,4188226,2158481.0,211172,0.034417862500988099,brown-c,182265724,3329276.0,1209250,0.0065582616877931186,food,1104991,1074640.0,17906,0.0082831997594513644,sandbox-s,200704,710417.0,33703,0.038411566664919114,potholed,1580544,200747.0,23585,0.013418057399815442,wheel,1513439,1249580.0,47055,0.01732534010023697
184,part,body,0.038395173172794214,airplane,1293178,1095248.0,83784,0.036354453316393608,orange-c,30348501,2789038.0,186625,0.0056637275676176997,granite,1317359,1502146.0,31199,0.01118923102414154,kitchen-s,9006592,648504.0,217787,0.023077235258483111,,24924928,0.0,25953,0.0010423320638700991,body,1291612,891699.0,80729,0.038395173172794214
1539,scene,art_studio-s,0.038379927843952097,book,615007,1191655.0,50386,0.028689112645165112,brown-c,182265724,2907852.0,1065163,0.0057855205128513054,wood,9805760,1818972.0,80777,0.0069973418988552886,art_studio-s,1229312,633715.0,68860,0.038379927843952097,,24924928,0.0,93818,0.003778244307242004,back,593570,679432.0,16603,0.013214751046443049
1702,scene,parking_garage-indoor-s,0.038376396925239975,ceiling,12122565,2890471.0,358527,0.024465302795201121,grey-c,159331282,3237693.0,926887,0.0057341934360560847,concrete,383195,244630.0,1453,0.0023197077774868608,parking_garage-indoor-s,288512,1516479.0,66709,0.038376396925239975,,24924928,0.0,467562,0.01911743071596508,roof,443437,1293677.0,14048,0.0081529088264755967
1640,texture,cobwebbed,0.03837323575316854,person,14523849,2019375.0,418966,0.025983583244574726,purple-c,10857154,3088994.0,215006,0.015658275182064245,skin,177703,610479.0,1879,0.0023896640353655014,amusement_park-s,564480,890707.0,38774,0.027374784049567464,cobwebbed,1505280,477962.0,73291,0.03837323575316854,hair,1159399,1297286.0,69633,0.029171128236837738
1295,texture,potholed,0.038336866897038101,mountain,5469345,2440717.0,288058,0.037792947891394445,green-c,63326720,3218697.0,590802,0.0089577052341219786,brick,422315,301126.0,9173,0.012842518494458662,excavation-s,150528,1050347.0,40794,0.035164785907190965,potholed,1580544,301074.0,69472,0.038336866897038101,coach,689166,838810.0,3698,0.0024260666361385522
311,scene,valley-s,0.038300472129572313,field,1883336,2225638.0,114543,0.028675673706718179,green-c,63326720,3254420.0,757272,0.011504519910619656,food,1104991,231981.0,4022,0.0030173674931542817,valley-s,501760,1296294.0,66326,0.038300472129572313,veined,1806336,611778.0,80535,0.034452311558240384,crosswalk,241792,513136.0,9778,0.013122190163054418
1597,object,building,0.038295166230993563,building,35246027,2492307.0,1391893,0.038295166230993563,pink-c,18491188,2860963.0,112281,0.0052863317901663239,brick,422315,276599.0,1779,0.0025518730231590724,building_facade-s,3148544,1656613.0,174716,0.03773204323303115,,24924928,0.0,156147,0.0063041859024067434,roof,443437,1342144.0,62046,0.035999268944349842
