unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
67,object,airplane,0.033130869573239359,airplane,1310659,1489074.0,89783,0.033130869573239359,white-c,73689572,2523663.0,677476,0.0089689440997077954,fabric,8700788,1053845.0,66925,0.006908238770202405,market-outdoor-s,370301,606088.0,5660,0.0058306695277466729,bumpy,2119654,71375.0,7398,0.0033879350494657751,body,1312994,1066038.0,68326,0.029569317775606244
83,texture,dotted,0.031784785076779537,windowpane,8991243,1070168.0,143295,0.014447804401561749,white-c,73689572,2756262.0,659034,0.0086958942718257,glass,2286730,1350084.0,49986,0.01393599023984423,dining_room-s,5797126,565068.0,37775,0.0059728806709359386,dotted,2987946,255584.0,99919,0.031784785076779537,pane,489020,724299.0,17706,0.014809139746724065
185,object,train,0.031615667007017491,train,1669220,1317361.0,91529,0.031615667007017491,black-c,142117568,2394465.0,636801,0.0044260641053214776,glass,2286730,1073421.0,12304,0.0036751978211668574,weighbridge-s,268149,779775.0,7832,0.0075301031062636765,potholed,1608894,11819.0,1169,0.00072180811388884768,coach,701489,883945.0,25733,0.016498675066567246
244,part,body,0.031439479002919379,signboard,672140,1600206.0,68313,0.030994545000006805,red-c,21346526,2775299.0,140185,0.0058455134844822955,glass,2286730,979771.0,29917,0.0092433874727181498,shopfront-s,204304,723573.0,10428,0.011366299380129032,swirly,1634432,179387.0,35707,0.020081412194507431,body,1312994,1089145.0,73220,0.031439479002919379
174,object,cat,0.030859490516201467,cat,4228548,1495322.0,171348,0.030859490516201467,orange-c,30864899,3334435.0,194277,0.0057131796603075834,painted,13701711,1252892.0,123715,0.0083417122427193839,bedroom-s,19511032,777541.0,152943,0.0075956401662128281,knitted,1889812,591638.0,53394,0.021990431851654162,torso,7789829,1038775.0,170766,0.019723861777039487
16,object,car,0.030744717646412956,car,5435238,1755735.0,214490,0.030744717646412956,black-c,142117568,3015826.0,1635264,0.01139571644592163,leather,479813,1127099.0,14098,0.0088510020630155183,street-s,28615329,735141.0,207426,0.0071175131877095612,studded,1621663,120126.0,12192,0.0070490409037480984,body,1312994,1320743.0,49910,0.019316308715715099
99,object,road,0.0306995361722954,road,13092677,2683106.0,469884,0.0306995361722954,green-c,64303167,2956609.0,789315,0.011874673172493869,glass,2286730,308161.0,6948,0.0026847577400275044,highway-s,4149925,1384648.0,156696,0.029137148357985875,potholed,1608894,18232.0,7165,0.0044229459845020963,crosswalk,246024,1577900.0,8246,0.0045415541742533641
22,texture,waffled,0.030627159800853052,cat,4228548,1277149.0,102523,0.018974587899630847,black-c,142117568,3969904.0,1037316,0.0071514297440672869,metal,3525611,1977635.0,50266,0.0092180789219839434,ball_pit-s,280918,363970.0,5228,0.0081730919551011479,waffled,1583356,517158.0,62421,0.030627159800853052,head,5034747,1050541.0,60355,0.010017538784248721
6,material,wood,0.030615693500534873,dog,3854036,1355914.0,143121,0.028246660781328915,orange-c,30864899,3211003.0,904421,0.027265017199563684,wood,9978559,1755887.0,348586,0.030615693500534873,kitchen-s,9168142,661429.0,112568,0.011584641890097183,waffled,1583356,158389.0,41546,0.024435963084321305,torso,7789829,1044118.0,178756,0.020653039314788086
250,material,food,0.030565591589468248,dog,3854036,1520138.0,69367,0.013076253292532604,green-c,64303167,2750521.0,316524,0.0047428446315159571,food,1124215,1027068.0,63805,0.030565591589468248,mountain-s,1187517,708966.0,12031,0.0063843494023726795,paisley,1583356,278433.0,23660,0.012871784298055251,muzzle,678509,914541.0,19256,0.012235400567037364
111,color,red-c,0.030563007539839256,person,14745720,1457287.0,255880,0.016045523435036291,red-c,21346526,3104581.0,725137,0.030563007539839256,fabric,8700788,1484536.0,111833,0.011101712405361756,florist_shop-indoor-s,229842,635759.0,8709,0.010163474510206653,dotted,2987946,282222.0,67296,0.021011142499606603,arm,2339418,1066612.0,39775,0.011815801239062401
101,scene,ball_pit-s,0.030332638679950612,ball,124778,1678493.0,25852,0.014544685299301965,blue-c,62464739,3228213.0,1078985,0.016698943743850305,fabric,8700788,1103669.0,67073,0.0068881950224002671,ball_pit-s,280918,743007.0,30144,0.030332638679950612,smeared,1902581,468861.0,55426,0.023931613598524363,body,1312994,1033618.0,26625,0.011476357410623422
170,part,leg,0.030228664583558721,horse,1249989,1467839.0,44386,0.016602567027824058,orange-c,30864899,2468620.0,271083,0.0081991236217440235,carpet,4490516,958860.0,25449,0.0046919879268286615,dining_room-s,5797126,575226.0,40071,0.0063280514557076664,zigzagged,1647201,113296.0,14068,0.0080552945467579837,leg,2832633,1052656.0,114001,0.030228664583558721
189,texture,spiralled,0.030130225901026264,skyscraper,1293433,1259920.0,56733,0.022723922743549278,red-c,21346526,2518570.0,91087,0.003831368954222235,ceramic,691369,666554.0,4497,0.0033226788904602098,skyscraper-s,4481919,663488.0,87875,0.017375075432048675,spiralled,1634432,373606.0,58733,0.030130225901026264,wheel,1540612,641131.0,19813,0.0091644965378157479
71,color,black-c,0.030054125747594414,person,14745720,1851640.0,140629,0.008545378787561151,black-c,142117568,4564110.0,4279765,0.030054125747594414,fabric,8700788,2249835.0,83276,0.007662955825373019,movie_theater-indoor-s,242611,566647.0,5553,0.0069092515288569807,spiralled,1634432,126670.0,20675,0.011879268708196321,torso,7789829,1313556.0,128457,0.014312872482096792
116,part,drawer,0.029848483010444845,cabinet,5413623,1634329.0,108152,0.015584310787054382,orange-c,30864899,2830836.0,545191,0.016445914130398583,wood,9978559,1090735.0,166715,0.015291336114143269,kitchen-s,9168142,1007241.0,94618,0.009385994019303099,stratified,1596125,147399.0,22104,0.012840561861718813,drawer,550426,977657.0,44289,0.029848483010444845
221,texture,perforated,0.029462728524889174,keyboard,128527,1309383.0,16481,0.011594669870953807,red-c,21346526,2740485.0,100222,0.0041782166008130558,carpet,4490516,998264.0,64836,0.011953663238411016,skyscraper-s,4481919,809377.0,51192,0.0097692717549117351,perforated,1825967,363937.0,62674,0.029462728524889174,screen,689450,725545.0,13947,0.0099546910598352096
40,object,lamp,0.029364767927291476,lamp,603702,1109232.0,48865,0.029364767927291476,orange-c,30864899,3174179.0,849477,0.025594673464137154,food,1124215,1869752.0,25013,0.0084248526585457371,hotel_room-s,2247344,692535.0,31332,0.010772389100124563,waffled,1583356,95313.0,24060,0.014541199763811269,shade,200733,679969.0,24591,0.028724079003774043
53,texture,studded,0.028917681082224988,motorbike,1463055,1870606.0,51793,0.015781560989046484,black-c,142117568,3511637.0,2798892,0.019595924290945158,leather,479813,1394784.0,8218,0.0044031785612675669,casino-indoor-s,663988,786308.0,18155,0.012676824418824683,studded,1621663,240500.0,52336,0.028917681082224988,wheel,1540612,1142315.0,28026,0.010556325829098712
157,texture,honeycombed,0.028804056384550896,grandstand,524619,1418530.0,15987,0.0082956181161729006,red-c,21346526,2845368.0,139902,0.0058166491989520034,food,1124215,555478.0,8942,0.0053520841825023596,auditorium-s,497991,826383.0,13548,0.010335467865300201,honeycombed,1583356,868496.0,68646,0.028804056384550896,coach,701489,603670.0,6262,0.0048210135214724493
201,texture,banded,0.028725330297541735,ceiling,12335942,1507226.0,147392,0.010761858254691082,red-c,21346526,2808996.0,101711,0.0042284775580884041,wood,9978559,1011082.0,60019,0.0054914067476441548,window_seat-s,587374,840523.0,11886,0.0083940025889629385,banded,2617645,133040.0,76808,0.028725330297541735,footboard,372828,911120.0,8894,0.0069753908461916122
145,part,ear,0.028614711160523661,sky,37221416,1985666.0,644672,0.01671762734746091,blue-c,62464739,2671175.0,503254,0.0077863730194610587,painted,13701711,691098.0,38079,0.0026527144711185791,mosque-outdoor-s,229842,837588.0,14781,0.014041717609573562,cobwebbed,1532280,33225.0,2825,0.0018077917423912765,ear,797925,1268959.0,57498,0.028614711160523661
42,object,sky,0.028469761187204585,sky,37221416,2586586.0,1101952,0.028469761187204585,white-c,73689572,3447091.0,1399249,0.018475003648791073,ceramic,691369,735791.0,12564,0.0088816877751669021,mountain_snowy-s,1825967,1325556.0,32748,0.010500276550889372,crystalline,1557818,52405.0,6873,0.0042866498269248758,torso,7789829,1518271.0,74132,0.0080281846330851475
120,texture,perforated,0.028245414049147086,sand,935897,1601433.0,24453,0.0097310771677244848,white-c,73689572,3095881.0,496844,0.006512689201083742,paper,478211,1062364.0,10884,0.0071151624739898452,building_facade-s,3205019,935240.0,30317,0.0073765031234017415,perforated,1825967,356051.0,59939,0.028245414049147086,drawer,550426,988906.0,25111,0.016583444556640015
153,part,body,0.027739802650512416,signboard,672140,1944796.0,53907,0.02103253611254496,blue-c,62464739,2838865.0,263935,0.0040580618576026269,paper,478211,678553.0,3953,0.0034290096121567196,building_facade-s,3205019,1094588.0,49890,0.011739605249008345,studded,1621663,101935.0,12324,0.0072016521024686874,body,1312994,1061828.0,64099,0.027739802650512416
37,texture,freckled,0.027683894587912011,horse,1249989,1215954.0,42803,0.017664270326931172,orange-c,30864899,2711735.0,308660,0.0092779921013524894,food,1124215,1174182.0,35261,0.015580592593639976,wine_cellar-barrel_storage-s,268149,502240.0,7490,0.0098178133671691804,freckled,1583356,301555.0,50776,0.027683894587912011,torso,7789829,835328.0,141127,0.016634429628372367
78,object,bird,0.027583225867104297,bird,1046893,1969892.0,80979,0.027583225867104297,black-c,142117568,3128782.0,1478612,0.010284727440032478,carpet,4490516,1044658.0,77280,0.014159307601063707,mountain-s,1187517,717246.0,18136,0.0096129229572141182,matted,1621663,190884.0,19325,0.01077669134106095,torso,7789829,1310013.0,237659,0.02681720745328775
156,texture,banded,0.027555167724913419,curtain,3163657,1000137.0,90917,0.022322549883043361,orange-c,30864899,2544578.0,210931,0.0063536216315015727,wood,9978559,1321681.0,109477,0.0097828003327387059,kitchen-s,9168142,670846.0,73946,0.0075725224735336523,banded,2617645,130764.0,73702,0.027555167724913419,side,109044,627021.0,3612,0.0049313744363119541
129,texture,cobwebbed,0.027492910064466369,toilet,315709,1077836.0,31262,0.022948242031941967,orange-c,30864899,2696461.0,143975,0.004308386188805617,ceramic,691369,1270792.0,28863,0.014929410778886648,labyrinth-indoor-s,140459,569179.0,5526,0.0078481832435748859,cobwebbed,1532280,274182.0,48336,0.027492910064466369,body,1312994,696056.0,36523,0.018515842875661524
7,object,water,0.027140718330874468,water,5727011,2358840.0,213657,0.027140718330874468,blue-c,62464739,3195472.0,1445815,0.022515434078053152,glass,2286730,719960.0,21501,0.0072025590339506139,skyscraper-s,4481919,1194872.0,77781,0.013891920178745885,meshed,1787660,98990.0,9994,0.0053254299136336119,screen,689450,1326319.0,24398,0.012251860652786446
234,part,screen,0.026722109620808333,car,5435238,1304110.0,150606,0.022858081254357811,black-c,142117568,2475274.0,1208239,0.0084265602771868044,glass,2286730,1138711.0,53540,0.0158782834964609,office-s,1570587,588543.0,25417,0.011912098768672262,chequered,1557818,29594.0,5679,0.0035903657570525494,screen,689450,979687.0,43442,0.026722109620808333
55,object,windowpane,0.026612668328619655,windowpane,8991243,1297000.0,266700,0.026612668328619655,white-c,73689572,2743399.0,921496,0.012203390279424419,glass,2286730,1318335.0,58009,0.016354125787695486,dining_room-s,5797126,775165.0,45792,0.0070163191628467266,polka-dotted,1736584,47287.0,8997,0.0050690922285187567,pane,489020,795152.0,27992,0.022283430718527598
28,texture,lined,0.026459028057680297,track,499164,1786726.0,57573,0.025836988184356174,black-c,142117568,3667247.0,1408333,0.0097545873156820659,metal,3525611,1238160.0,49772,0.01055833910868458,airport_terminal-s,1506742,898752.0,22747,0.0095465443876332646,lined,1596125,443756.0,52582,0.026459028057680297,coach,701489,1028577.0,14933,0.0087066134229823577
113,texture,stratified,0.026452294201322741,rock,1965710,1976526.0,53459,0.013746995520699695,pink-c,18799488,3262124.0,471033,0.021816598804506353,food,1124215,984929.0,42572,0.02060029846528454,canyon-s,178766,1012849.0,10458,0.0088540304125531155,stratified,1596125,437316.0,52403,0.026452294201322741,head,5034747,1104679.0,62276,0.010247566704787606
