unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou,color-label,color-truth,color-activation,color-intersect,color-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,part-label,part-truth,part-activation,part-intersect,part-iou
146,texture,frilly,0.025100146796533773,flower,600618,1427978.0,38816,0.019507684266602338,pink-c,18799488,2970546.0,515374,0.024247576766694926,fabric,8700788,1291428.0,87041,0.0087874267743881362,childs_room-s,983213,735550.0,21839,0.012869757278463855,frilly,1647201,392573.0,49945,0.025100146796533773,arm,2339418,957525.0,27323,0.0083566285990420899
5,object,boat,0.025078522409189747,boat,1263898,1243564.0,61345,0.025078522409189747,white-c,73689572,2463884.0,290868,0.0038341428584007706,glass,2286730,1347068.0,10371,0.0028622075179105307,harbor-s,306456,784029.0,22393,0.020965422454245514,stratified,1596125,3449.0,787,0.00049224818565575025,top,389265,749156.0,12570,0.011164887716047683
26,color,black-c,0.024991520906681126,person,14745720,1395440.0,268627,0.016924015845486036,black-c,142117568,4137647.0,3566020,0.024991520906681126,fabric,8700788,2413111.0,82114,0.007443401045252423,subway_interior-s,370301,407182.0,6852,0.0088914149573531293,polka-dotted,1736584,135744.0,18925,0.010210947106484666,torso,7789829,1042392.0,118980,0.01365507966553433
74,object,car,0.024740934671390359,car,5435238,1630527.0,170593,0.024740934671390359,white-c,73689572,2739720.0,401511,0.0052811090198726174,glass,2286730,921121.0,16291,0.0051044003559387882,bus_interior-s,357532,872768.0,8902,0.0072883695568520665,spiralled,1634432,28694.0,8277,0.0050016648044625221,body,1312994,1025745.0,24728,0.01068620676392636
197,texture,stratified,0.024614225066684224,ceiling,12335942,1965740.0,340395,0.024381348223842116,pink-c,18799488,3130990.0,124033,0.0056879055710364525,metal,3525611,979568.0,11968,0.0026635740008648604,building_facade-s,3205019,1234437.0,93822,0.021589945218580302,stratified,1596125,146669.0,41867,0.024614225066684224,roof,451342,1085868.0,15909,0.010457496576943025
18,object,floor,0.02458529289259001,floor,20690801,1824427.0,540261,0.02458529289259001,grey-c,161925849,3105258.0,1077852,0.0065741421236193203,carpet,4490516,1234225.0,99942,0.017768101580163131,game_room-s,1391821,1153577.0,38781,0.015471450165701421,sprinkled,1749353,65737.0,12071,0.0066948823057327734,top,389265,1135055.0,2187,0.0014367995437980781
129,object,earth,0.024546317856986032,earth,4264321,2292006.0,157078,0.024546317856986032,orange-c,30864899,3420777.0,298203,0.0087739091399940215,carpet,4490516,1023412.0,104303,0.019281003766434827,highway-s,4149925,1210431.0,53888,0.010155154049737039,stratified,1596125,190382.0,34902,0.019925725263401282,roof,451342,1115880.0,9563,0.0061393411523318004
89,object,sheep,0.024515027526136497,sheep,824399,1442654.0,54247,0.024515027526136497,white-c,73689572,2855713.0,787795,0.010398905771561334,fabric,8700788,1158661.0,135330,0.013916941987238123,crevasse-s,153228,479999.0,7995,0.012787253371548481,crystalline,1557818,260682.0,35986,0.020188340736734745,torso,7789829,1047752.0,198632,0.022992611717004001
57,object,sidewalk,0.02432019103045633,sidewalk,4066329,2069604.0,145684,0.02432019103045633,white-c,73689572,3411378.0,562821,0.0073534721498091492,carpet,4490516,1114552.0,79588,0.014403816501009867,mountain_snowy-s,1825967,1097501.0,29724,0.010271813954517055,spiralled,1634432,140909.0,12411,0.0070399845711400909,crosswalk,246024,1230115.0,4079,0.0027709468364061247
73,object,house,0.024314650307373644,house,1865979,2235130.0,97350,0.024314650307373644,blue-c,62464739,3163942.0,445856,0.006840084025201424,metal,3525611,821382.0,13966,0.0032231509289002815,house-s,702295,1198035.0,23208,0.012363607693053514,veined,1838736,56816.0,4404,0.0023287442336612468,roof,451342,1360391.0,35154,0.019787467936973249
